sugar,fat,salt,fiber,protein,energy,additives,nova,plastic,palm_oil,health_label,eco_label

0,0,0,0,0,0,0,1,0,0,0,0
1,8,0,9,11,0,0,1,0,0,0,0
4.8,3,0.0925,0,3,0,0,1,0,0,0,0
0.5,1.3,0.036,11.6,18.2,0,0,0,0,0,0,0
4.71,2.24,0.153,0,7.65,0,1,4,0,0,2,0
8,0.9,1.0825,3,7,0,0,3,0,0,0,0
16,0,36.5,0,0,0,2,0,0,0,1,0
3,49,0.0475,9,30,0,0,0,0,0,0,0
13.1,0,0,0,0.2,0,0,0,0,0,1,0
18.2,10.8,0.27,7,23,0,2,4,0,0,2,0
58.5,27.5,0.85,25,7.7,0,4,4,0,0,2,0
11.2,0,0,0,0,0,2,4,1,0,2,1
5,15.7,3.0805,3.9,10.4,0,7,4,0,1,2,1
35,19,0.76,2.9,5.6,0,3,4,0,1,2,1
2.6,35.5,0.51,0,7,0,0,3,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
11,0,0.1,0,0,0,6,4,0,0,2,0
58.5,27.5,0.85,25,7.7,521.0325047801147,4,4,0,0,2,0
58.5,27.5,0.85,25,7.7,521.0325047801147,4,4,0,0,2,0
58.5,27.5,0.85,25,7.7,521.0325047801147,4,4,0,0,2,0
58.5,27.5,0.85,25,7.7,521.0325047801147,4,4,0,0,2,0
58.5,27.5,0.85,25,7.7,521.0325047801147,4,4,0,0,2,0
7,0,0.01275,2.6,0,27.963671128107073,5,4,0,0,2,0
7,0,0.01275,2.6,0,27.963671128107073,5,4,0,0,2,0
58.5,27.5,0.85,25,7.7,520.793499043977,4,4,0,0,2,0
58.5,27.5,0.85,25,7.7,520.793499043977,4,4,0,0,2,0
7,0,0.01275,2.6,0,27.963671128107073,5,4,0,0,2,0
7,0,0.01275,2.6,0,27.963671128107073,5,4,0,0,2,0
7,0,0.01275,2.6,0,27.963671128107073,5,4,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0
58.5,27.5,0.85,25,7.7,520.793499043977,4,4,0,0,2,0
0,100,0,0,0,898.9005736137667,0,2,0,0,0,0
58.5,27.5,0.85,25,7.7,561.9980879541109,4,4,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0
58.5,27.5,0.85,25,7.7,561.9980879541109,4,4,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0
80,0,0.0425,0,0,319.7896749521988,0,2,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.01275,2.6,0,33.41300191204589,5,4,0,0,2,0
58.5,27.5,0.85,25,7.7,561.9980879541109,4,4,0,0,2,0
10.6,0,0,0,0,43.021032504780116,2,4,1,0,2,1
0,100,0,0,0,898.9005736137667,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.01275,2.6,0,33.41300191204589,5,4,0,0,2,0
7,0,0.01275,2.6,0,33.41300191204589,5,4,0,0,2,0
